time,pressure,voltage,power
0.006291456,0.60119,0.0520142,4.3697552784064235E-08
0.006356992,0.60243,0.0520142,4.3697552784064235E-08
0.006422528,0.60367,0.0520142,4.3697552784064235E-08
0.006488064,0.566485,0.0520142,4.3697552784064235E-08
0.0065536,0.54417,0.0520142,4.3697552784064235E-08
0.006619136,0.54665,0.0520142,4.3697552784064235E-08
0.006684672,0.55285,0.0520142,4.3697552784064235E-08
0.006750208,0.559045,0.0520142,4.3697552784064235E-08
0.006815744,0.565245,0.0520142,4.3697552784064235E-08
0.00688128,0.568965,0.0520142,4.3697552784064235E-08
0.006946816,0.57268,0.0520142,4.3697552784064235E-08
0.007012352,0.57516,0.0520142,4.3697552784064235E-08
0.007077888,0.57764,0.0520142,4.3697552784064235E-08
0.007143424,0.57888,0.0520142,4.3697552784064235E-08
0.00720896,0.58012,0.0520142,4.3697552784064235E-08
0.007274496,0.58136,0.0520142,4.3697552784064235E-08
0.007340032,0.57764,0.0520142,4.3697552784064235E-08
0.007405568,0.52682,0.0520142,4.3697552784064235E-08
0.007471104,0.51442,0.0520142,4.3697552784064235E-08
0.00753664,0.51938,0.0520142,4.3697552784064235E-08
0.007602176,0.52682,0.0520142,4.3697552784064235E-08
0.007667712,0.534255,0.0520142,4.3697552784064235E-08
0.007733248,0.539215,0.0520142,4.3697552784064235E-08
0.007798784,0.54293,0.0520142,4.3697552784064235E-08
0.00786432,0.54665,0.0520142,4.3697552784064235E-08
0.007929856,0.54913,0.0520142,4.3697552784064235E-08
0.007995392,0.55161,0.0520142,4.3697552784064235E-08
0.008060928,0.55285,0.0520142,4.3697552784064235E-08
0.008126464,0.55533,0.0520142,4.3697552784064235E-08
0.008192,0.556565,0.0520142,4.3697552784064235E-08
0.008257536,0.54293,0.0520142,4.3697552784064235E-08
0.008323072,0.502025,0.0520142,4.3697552784064235E-08
0.008388608,0.497068,0.0520142,4.3697552784064235E-08
0.008454144,0.504505,0.054491,4.7958194550696963E-08
0.00851968,0.509465,0.0520142,4.3697552784064235E-08
0.008585216,0.51442,0.0520142,4.3697552784064235E-08
0.008650752,0.51938,0.054491,4.7958194550696963E-08
0.008716288,0.5231,0.0520142,4.3697552784064235E-08
0.008781824,0.52682,0.054491,4.7958194550696963E-08
0.00884736,0.529295,0.054491,4.7958194550696963E-08
0.008912896,0.530535,0.0569679,5.241718451541E-08
0.008978432,0.531775,0.0569679,5.241718451541E-08
0.009043968,0.533015,0.0569679,5.241718451541E-08
0.009109504,0.534255,0.0569679,5.241718451541E-08
0.00917504,0.505745,0.0569679,5.241718451541E-08
0.009240576,0.473516,0.0594448,5.7074354656736963E-08
0.009306112,0.4747555,0.0594448,5.7074354656736963E-08
0.009371648,0.4809535,0.0594448,5.7074354656736963E-08
0.009437184,0.487151,0.0594448,5.7074354656736963E-08
0.00950272,0.4921095,0.0594448,5.7074354656736963E-08
0.009568256,0.495828,0.0594448,5.7074354656736963E-08
0.009633792,0.499547,0.0594448,5.7074354656736963E-08
0.009699328,0.502025,0.0594448,5.7074354656736963E-08
0.009764864,0.504505,0.0594448,5.7074354656736963E-08
0.0098304,0.506985,0.0594448,5.7074354656736963E-08
0.009895936,0.508225,0.0594448,5.7074354656736963E-08
0.009961472,0.508225,0.0594448,5.7074354656736963E-08
0.010027008,0.509465,0.0594448,5.7074354656736963E-08
0.010092544,0.4697975,0.0594448,5.7074354656736963E-08
0.01015808,0.452443,0.0594448,5.7074354656736963E-08
0.010223616,0.456162,0.0594448,5.7074354656736963E-08
0.010289152,0.46236,0.0594448,5.7074354656736963E-08
0.010354688,0.467318,0.0594448,5.7074354656736963E-08
0.010420224,0.4722765,0.0594448,5.7074354656736963E-08
0.01048576,0.475995,0.0594448,5.7074354656736963E-08
0.010551296,0.479714,0.0594448,5.7074354656736963E-08
0.010616832,0.482193,0.0594448,5.7074354656736963E-08
